Card Name,Quantity,Set Code,Number
Manamorphose,1,SPG,142
Weftwalking,1,EOE,86
Cool but Rude,1,TMT,89
Dour Port-Mage,1,BLB,47
Fabled Passage,1,BLB,252
Darkstar Augur,1,BLB,311
Iridescent Vinelasher,1,BLB,99
Heart of Bogardan,1,WTH,106
"Splinter, Radical Rat",1,TMT,251
Festival of Embers,1,BLB,316
Cathedral of War,1,EOS,6
"Tam, Mindful First-Year",1,ECL,245
Weather Maker,1,TMT,182
Bristlebane Battler,1,ECL,168
"Danitha, Benalia's Hope",1,DMU,287
Anticipate,1,F15,12
Improvised Arsenal,1,TMT,92
Hit the Mother Lode,1,LCI,153
Michelangelo's Technique,1,TMT,122
Invasion of Alara // Awaken the Maelstrom,1,MOM,230
"Xu-Ifit, Osteoharmonist",1,EOE,127
"Fangorn, Tree Shepherd",1,LTR,166
Quandrix Command,1,STX,217
"Anafenza, Kin-Tree Spirit",1,DTK,2
Dimensional Infiltrator,1,OGW,44
Entropic Battlecruiser,1,EOE,99
"Finneas, Ace Archer",1,BLB,212
Simic Sky Swallower,1,IMA,208
Gloom Ripper,1,ECL,102
Confirm Suspicions,1,SOI,53
Lotleth Troll,1,CMA,183
Poetic Ingenuity,1,LCI,161
Somberwald Beastmaster,1,J25,715
Honored Hydra,1,AKH,172
Sylvan Scavenging,1,FDN,113
"Tawnos, the Toymaker",1,BRO,222
Byway Barterer,1,BLB,129
Skeletal Swarming,1,AFR,232
Turncoat Kunoichi,1,TMT,26
Ashroot Animist,1,FDN,117
Magus of the Future,1,TSR,75
Briarbridge Tracker,1,J25,639
Eliminate the Competition,1,KLD,78
Curse of Surveillance,1,MID,46
Radha's Firebrand,1,DMU,141
Gilt-Leaf Winnower,1,ORI,99
Mishra's Self-Replicator,1,DOM,223
Park Heights Pegasus,1,SNC,211
Obscura Interceptor,1,SNC,209
Getaway Car,1,SNC,237
Sphinx of the Chimes,1,RTR,52
Coruscation Mage,1,BLB,131
Weftstalker Ardent,1,EOE,169
Aether Tunnel,2,M19,43
"Kardur, Doomscourge",2,KHM,324
Soulgorger Orgg,2,JUD,99
Volcanic Spray,4,ODY,226
"Kardur, Doomscourge",2,KHM,216
Bottle Gnomes,2,9ED,290
Lead the Stampede,1,IKO,163
Bane of Bala Ged,1,BFZ,1
Whipcorder,2,ONS,60
Gathering Stone,1,ECL,257
Lay Claim,6,AKH,61
Timeline Culler,1,EOE,121
Curator's Ward,1,DOM,49
Blustersquall,3,RTR,30
Elusive Krasis,2,GTC,160
Sunbond,1,BNG,28
"Tenza, Godo's Maul",1,CHK,271
Rejuvenation Chamber,1,NEM,137
Thoughtrender Lamia,1,JOU,85
Sight of the Scalelords,1,DTK,207
Titanoth Rex,2,IKO,174
Provisions Merchant,1,WOE,321
Rogue's Passage,1,ORI,250
Divide by Zero,1,STX,41
Fanning the Flames,1,STH,80
Forerunner of the Heralds,2,RIX,129
Harnessed Lightning,1,KLD,117
Mindclaw Shaman,1,M13,142
Regrowth,1,A25,187
Brine Comber // Brinebound Gift,1,DBL,500
Enlistment Officer,2,APC,9
Tunneling Geopede,5,BFZ,158
Aphetto Runecaster,2,SCG,28
Kavu Howler,4,APC,79
Primitive Justice,1,ALL,77
